instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0.992410216,1/1/2011,springer,2011,1,-0.009452375,No,5.99061648,No work,Clear,0.24,0.2879,0.81,0,3,13,15.99901936
2.004156526,1/1/2011,springer,2011,1,1.007925236,No,5.996162127,No work,Clear,0.22,0.2727,0.8,0,8,32,40.00497015
2.984610153,1/1/2011,springer,2011,1,1.993083127,No,6.004768263,No work,Clear,0.22,0.2727,?,0,5,27,32.00478576
3.993251408,1/1/2011,springer,2011,1,2.991451279,No,5.980473271,No work,Clear,0.24,0.2879,0.75,0,3,10,12.99985583
4.990762632,1/1/2011,springer,2011,1,4.024688071,No,5.984411869,No work,Clear,0.24,0.2879,0.75,0,0,1,1.002089247
6.006657267,1/1/2011,springer,2011,1,5.012493069,No,6.010326238,No work,Mist,0.24,0.2576,0.75,0.0896,0,1,0.986416306
7.016724244,1/1/2011,springer,2011,1,6.012014308,No,6.013293261,No work,?,0.22,0.2727,0.8,0,2,0,2.002014745
8.000019241,1/1/2011,springer,2011,1,7.000187397,No,5.997579487,No work,Clear,0.2,0.2576,0.86,0,1,2,3.00951198
8.980566581,1/1/2011,springer,2011,1,7.98308293,No,5.994201746,No work,Clear,0.24,0.2879,0.75,0,1,7,8.005384994
10.00351822,1/1/2011,springer,2011,1,9.022471712,No,6.003793655,No work,Clear,?,0.3485,0.76,0,8,6,13.99420392
10.98951157,1/1/2011,springer,2011,1,10.00113963,No,5.985840275,No work,Clear,0.38,0.3939,0.76,0.2537,12,24,36.00215255
11.99736761,1/1/2011,springer,2011,1,11.00217206,No,6.003232062,No work,Clear,0.36,?,0.81,0.2836,26,30,56.01484731
12.97808197,1/1/2011,springer,2011,1,12.00279214,No,6.015473576,No work,Clear,0.42,0.4242,0.77,?,?,?,84.00275609
13.99115779,1/1/2011,springer,2011,1,12.99499581,No,6.015635392,No work,Mist,0.46,0.4545,0.72,0.2985,47,47,93.99904891
15.0034524,1/1/2011,springer,2011,1,14.00267543,No,6.013321455,No work,Mist,0.46,0.4545,0.72,0.2836,35,71,106.0119711
16.01461979,1/1/2011,?,2011,1,15.00660748,No,6.009990216,No work,Mist,0.44,0.4394,0.77,0.2985,40,70,110.0022223
17.00408195,1/1/2011,springer,2011,1,15.99524084,No,5.982728868,No work,Mist,0.42,0.4242,0.82,0.2985,41,52,92.99456831
17.98557418,1/1/2011,springer,2011,1,16.99675506,No,6.005390745,No work,Mist,0.44,0.4394,0.82,0.2836,15,52,67.01181139
19.00993782,1/1/2011,springer,2011,1,18.00239683,No,6.004823247,No work,Light Snow,?,0.4242,0.88,0.2537,9,26,34.99858082
20.00088523,1/1/2011,springer,2011,1,18.97893904,No,6.009207618,No work,Light Snow,0.42,0.4242,0.88,0.2537,6,31,37.01101958
20.97372611,1/1/2011,springer,2011,1,20.00647241,No,6.002855497,No work,Mist,0.4,0.4091,0.87,0.2537,11,25,35.97277869
22.02113937,1/1/2011,springer,2011,1,20.98990454,No,5.986946556,No work,Mist,0.4,0.4091,0.87,0.194,3,31,34.00380671
22.99773597,1/1/2011,springer,2011,1,22.00661539,No,6.01086614,No work,Mist,0.4,0.4091,0.94,0.2239,11,17,27.99202771
23.99504521,1/1/2011,springer,2011,1,23.00111506,No,6.002989002,No work,Mist,0.46,0.4545,0.88,0.2985,15,24,39.00535756
25.00475311,2/1/2011,springer,2011,1,-0.001841444,No,0.002913177,No work,Mist,0.46,0.4545,0.88,0.2985,4,13,16.99273015
26.00207512,2/1/2011,springer,2011,1,0.991137653,No,0.011661142,No work,Mist,0.44,0.4394,0.94,0.2537,1,16,16.99931693
26.99961713,2/1/2011,springer,2011,1,2.009779932,No,0.007949453,No work,Mist,0.42,0.4242,1,0.2836,1,8,8.990793155
28.00197512,2/1/2011,springer,2011,1,2.992896525,No,0.00684105,No work,Mist,0.46,0.4545,0.94,0.194,2,4,6.010109598
29.00830985,2/1/2011,springer,2011,1,3.993726261,No,0.005864337,No work,Mist,0.46,0.4545,0.94,0.194,2,1,2.985844619
